;Alternate Name;Artist;Author;Genre;Name;Plot;Status;Year of Release
1091;Confirmed Daisy;Motomi Kyousuke;Motomi Kyousuke;['Comedy', 'Drama', 'Romance', 'Shoujo', 'Slice of Life'];Dengeki Daisy;"“No matter what happens, I’ll protect you.”

Teru, who lost her only remaining relative, her older brother, is cheered on by a mail from an enigmatic person, DAISY, who she can contact via the cellphone her brother gave her. One day, through an unexpected incident, Teru ends up working as a servant for the delinquent school janitor, Kurosaki. But this scoundrel, Kurosaki is really…!?";Ongoing;2007
1092;Pocket Monsters: Dengeki Pikachu, Pokemon: The Electric Tale of Pikachu;ONO Toshihiro;ONO Toshihiro;['Action', 'Comedy', 'Fantasy', 'Shounen'];Dengeki Pikachu;"This series is loosely based on the anime: Satoshi aspires to be a Pokémon Master, and together with the various friends and Pokémon that travel with him, embark on many adventures.

Note: The manga was edited and censored by VIZ in its english release, since its original content was found too ""offensive"" by the American public and was made more ""kid-friendly.""";Ongoing;1997
1093;Denpa Kyoshi, He Is a Ultimate Teacher;AZUMA Takeshi;AZUMA Takeshi;['Comedy', 'Romance', 'School Life', 'Shounen', 'Slice of Life'];Denpa Kyoushi;"Kagami Junichirou was known as a physics genius when he was a teenager, and he was even published in ""Nature."" However, after college, he suddenly lost all interest in science. As a NEET, he's devoted himself to his anime blog and nerdy collecting habits. He claims he has a serious illness called ""I can't do anything I don't want to do."" Desperate to get him to do something with his life, his little sister manages to get him a job teaching physics at his old high school. He's certainly an unconventional teacher, but he becomes fairly popular with the students. After helping a girl who's being ruthlessly bullied, Kagami finds that he actually likes teaching. Will he continue his career as a weird teacher? Will he go back into physics? Or will he end up back where he started?";Ongoing;2011
1094;Electric Wave Woman and Youthful Man;YAMANE Masato;IRUMA Hitoma;['Comedy', 'Romance', 'Sci-Fi', 'Seinen'];Denpa Onna to Seishun Otoko;Makoto Niwa moves to live in the city and meets his first cousin Erio Touwa at the house of his aunt Meme Touwa. Erio is no longer enrolled on the register of the school and is constantly wrapped in a futon. Erio claims that she is an extraterrestrial life.;Ongoing;2010
1095;Densetsu no Yusha no Densetsu, DenYuDen, The Legend of The Brave of The Legend, The Legend of the Legendary Heroes;NAGAKURA Hiroko, TOYOTA Saori;KAGAMI Takaya;['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen', 'Supernatural'];Densetsu no Yuusha no Densetsu;A mythical story with swords and magic centering around one lethargic Roland Empire student named Ryner Lute. After getting dragged into a war and losing many of his friends, Ryner is asked by the soon-to-be enthroned king, Zion Astal, to help rebuild Roland postwar by searching for legendary relics. Accompanying him is a beautiful, capable, yet arrogant swordswoman named Ferris Eris, who’s always quick to insult and abuse Ryner. Meanwhile, a new turmoil begins to approach Roland.;Completed;2008
1096;;Sid Kotian;Beth Behrs, Matt Doyle;['Sci-Fi'];Dents;"Dents is an apocalyptic journey to the year 2111, where more than half of the world’s population has been wiped out by an ancient plague. After a vaccination is developed, there is a massive increase in the birth of identical twins possessing extraordinary powers, known in society as “Dents.” Following an incident at school, Eleanor learns that she herself is a Dent, separated from her twin at birth, and is quickly swept into an underground society of other Dents trying to survive.
";Ongoing;2016
1097;;ASHIHARA Hinako;ASHIHARA Hinako;['Drama', 'Romance', 'Shoujo', 'Sports'];Derby Queen;"From xkazemg:

Ootome Hime’s father was a jockey who dreamed of winning the Japanese Derby. One year, when Hime went to watch him race in the Derby, he died in a horrible racing accident. The man responsible retired in guilt from being a jockey.

10 years later, Hime is in high school, and she has heard that Arakawa Jin, the son of the man who killed her father, is debuting in the Derby as a jockey. She went to see him race, and was outraged to see him win! Now Hime has decided to quit high school and go to a special school for jockeys, in hopes of being able to beat Jin in a race one day. She has met a new friend and aspiring jockey along the way, a boy called Tadano Ryouhei, but she can’t let him stand in the way of her revenge!";Completed;1999
1098;Sunabozu, Sand Boy;USUNE Masatoshi;USUNE Masatoshi;['Action', 'Adventure', 'Comedy', 'Ecchi', 'Seinen'];Desert Punk;After a nuclear war turns most of the Earth into desert wastelands, surviving humans had used the sands in order to survive. One of them is a professional mercenary named Sunabozu, who makes a living by hiring himself out to anyone who needs his talents. ;Ongoing;1997
1099;Yabai Kimochi;;Honami, Yukine (Art), Kazumi, Maki (Story);['School Life', 'Yaoi'];Desire;;Ongoing;2001
1100;Deseo, Love Climax, Passionate Climax, Yokujou Climax, Yokujyou Climax;Ukyou Ayane;Ukyou Ayane;['Drama', 'Mature', 'Romance', 'Shoujo', 'Smut'];Desire Climax;Omari Mio is a normal 17 year-old girl. She goes to school and works a part-time job to help support her family. Because her father is dead and her mother's sick, she often finds it hard to make ends meet. <br />One night, as Mio is coming home from work, she meets a handsome stranger who suddenly steals a kiss from her, and then throws money at her offering to buy her. Who is this mysterious stranger that stole Mio's first kiss?;Completed;2005
1101;"Age of Desolation; Desolate Era; Mang Huang Ji";Mo Wen;Man Wang Za Zhi;['Action', 'Adventure', 'Comedy', 'Fantasy', 'Martial Arts', 'Shounen'];Desolate Era;"In the world of [Man Huang Ji], to survive, tribes of humans have to fight against the forces of the heavens, the earth, and demons. To live long and free, the three great disasters and nine robberies sent death without regret to the immortals. Then one day, a boy named ""Ji Shi"" was born to the strongest tribe in Yu Ji. As a direct descendant, he bears the responsibility to protect his people, who grow to respect him. With an iron will, he begins the long journey of an immortal guardian.";Ongoing;2015
1102;Desutoro 246;TAKAHASHI Keitarou;TAKAHASHI Keitarou;['Action', 'School Life', 'Seinen'];Destro 246;"From MangaHelpers:

Billionaire Tono Ryuichi, the President of Tono Foods Group, a giant food company, recently acquired two young female assassins from the Mexican cartel. Sui and Ai came from unimaginably poor childhoods and were given a choice between killing people or selling their body. They chose the former and went through an inconceivably extreme training and, at 17 years old, they have become one of the deadliest assassins in the world. They are absolutely obedient to their master and they are given the task of finding the killer that poisoned Ryuichiâ€™s wife and child. They begin attending high school to blend into society and, at the same time, read and study which helps them become even more deadlier on the field. Sui and Ai encounter Matoba Imari who is a high school assassin herself and may be more skilled than both of them. But unlike the two, Imari just wants to lead a normal life. Whatever Imari wishes for her life is not their problem because the only thing Sui and Ai feeds on are bloodthirst and a challenge. [vyc]";Ongoing;2012
1103;;MORI Kouji;MORI Kouji;['Drama', 'Psychological', 'Seinen', 'Supernatural'];Destroy and Revolution;"Makoto is a quiet, unobtrusive boy with passable looks and average grades. The last thing he expects is to be noticed by Yuuki - a model student who is as popular as he is notorious for his brilliance, his looks...and his uncanny knack for always having his way with everyone.

Thus begins the fateful partnership between a nondescript high-school student with budding supernatural powers and an intelligent, charming young terrorist-in-the-making. ";Ongoing;2010
1104;Case Closed, Meitantei Conan;Aoyama Gosho;Aoyama Gosho;['Mystery', 'Shounen'];Detective Conan;16 year-old Kudo Shinichi, a famous High school detective, treats his friend, Mori Ran to a theme park named Tropical Land. After solving a murder case that occured on the same day, Shinichi notices and tails two people in black. However, one of them notices Shinichi and knocks him out. Instead of killing him, they gave him an untested poison that was supposed to kill him yet leave no traces. However, instead of killing him, it shrunk him into a 8 year old boy. Shinichi now goes under the name Edogawa Conan.;Ongoing;1994
1105;;TASHIRO Takuya;TASHIRO Takuya;['Action', 'Ecchi', 'Martial Arts', 'Seinen'];Dethrone;"There exists a martial arts contest in Japan that is of no concern to boys.
Girls who possess the Dragon Queen`s spirit gather at a special academy.
The goal - fighting each other to make the soul of the Dragon Queen one once more.
How? Why?
By fondling their defeated opponent`s breasts, of course!";Ongoing;2012
1106;DMC;Wakasugi, Kiminori;Wakasugi, Kiminori;['Comedy', 'Seinen'];Detroit Metal City;Detroit Metal City is about a death metal band that has gained immense popularity in the indie scene. The main character is a push-over, Negichi Souchi, who is trying to make a living in the music world, but he didn\'t imagine in his wildest dreams that it would be in such a band. Read and see what hilarious situations he gets himself into.;Ongoing;2005
1107;???X???, Deus Ex;;Karasuma, Wataru (Story & Art);['Action', 'Drama', 'Mecha', 'Seinen'];Deus Ex Machina;"Clockworkers- mechanical men, created during the war as a weapon to kill as many as possible. That war may be long over, but rogue Clockworkers are still roaming about, spreading fear and death wherever they go.

Machina's a member of the CWA, an organization dedicated to the destruction of these rogue robots.

Along with Deus, her Clockworker partner, she travels the country in pursuit of these dangerous robots... 

[MangaUpdates/Horobi no Michi]";Ongoing;2008
1108;Devil & Devil, Devil and Devil;MIYOSHI Yuki;MIYOSHI Yuki;['Action', 'Fantasy', 'Shounen', 'Supernatural'];Devil Devil;"Above the Earth, there is a continuous battle between angels and devils. One devil in particular, Sword, has it in for a certain angel, Ios. In their 101st fight together, both are severely wounded. Not only that, but their clashing power causes the two to fall to earth. By chance, Sword finds a beaten, unconscious teenage boy nearby, and he is able to take over the human's body to save his own life.

Some time later, Sword awakens in the hospital, briefly confused about his whereabouts. The father of the body he possessed enters the room, extremely happy to see his boy Souma alive. Then the older twin brother shows up. Immediately, Sword recognizes his enemy's energy. Also nearly dead, Ios had joined with Kanna's body. Sword goes to attack Ios, but quickly realizes that the body is far weaker than his demon form, especially from being recently beaten to hell.

Since the brothers had been found heavily thrashed, their memory loss isn't that surprising. Their large change in behaviors is also explained by amnesia. As it turns out, Sword entered the body of the cliché nerd who can't run fifty meters without falling. Ios's new body is a terror, feared by all and constantly suspended from school. While the angel and devil have primary control over the bodies of the twins, reflex actions and memories of the other souls (still alive within the bodies) do appear. More importantly, the human bodies cannot handle the powers that Sword and Ios had used with ease. This a problem especially for Sword who is both over eager to use his powers and targeted by devils and angels.";Completed;1997
1109;;;CHAYAMACHI Suguro (Story & Art);['Action', 'Fantasy'];Devil May Cry 3;Dante is a demon slayer and bounty hunter with a demon heritage of his own that haunts his past. He's currently unemployed--and bored to death. Opportunity knocks in the form of a missing-child case, which his friend and manager, Enzo, offers him. But a four-million-dollar reward, an unexpected demon attack and a little girl named Alice all conspire to send Dante through the looking glass on a nightmarish adventure beyond his wildest imagination. ;Completed;2005
1110;Devil Summoner: Kuzunoha Raidou Tai Kodokuno Marebito, Devil Summoner: Kuzunoha Raidou vs. The Lonely Spirit, Devil Summoner: Raidou Kuzunoha vs. The Lonely Spirit, Shin Megami Tensei: Devil Summoner;AYAMURA Kirihito;Atlus, RA-SEN;['Action', 'Fantasy', 'Romance', 'Shounen', 'Supernatural'];Devil Summoner: Kuzuha Raidou Tai Kodoku no Marebito;Narumi Detective Agency is where the people of old Japan go to for mysterious and supernatural cases. But Narumi is just the face of the operation and the real hero is Kuzunoha Raido, the devil summoner. As a devil summoner, Raido can call upon many different demons to assist him in solving cases that deal with other demons causing harm in the human world. Lately, there have been a surge of cases and a powerful summoner seems to be behind all the incidents. Is the Narumi-Raido combo strong enough to overcome the demon force more powerful than anything they have experienced before?;Ongoing;2009
1111;Shin Megami Tensei: Devil Survivor;MATSUBA Satoru;Atlus;['Action', 'Adventure', 'Mystery', 'Romance', 'Sci-Fi', 'Shounen', 'Supernatural', 'Tragedy'];Devil Survivor;The Comp is a popular portable game system that also functions as a smartphone. But it suddenly becomes a portal for demons to travel to the human world! Kazuya receives three Comps, from his master programmer cousin Naoya, for himself and his two friends Atsuro and Yuzu. In order to survive the demon invasion, the trio have to use the Comps to summon and subdue the demon that appears in order to fight back against the waves of demons that are about to swarm Japan!;Ongoing;2012
1112;;SAKAKI Nagako;Atlus;['Action', 'Adventure', 'Mystery', 'Sci-Fi', 'Shounen', 'Supernatural'];Devil Survivor 2 - Show Your Free Will;The setting of Devil Survivor 2 spans the whole country of Japan. It tells the story of Japanese high-school students who receive emails from a website foretelling their friend's deaths. Mysterious creatures invade the country, and the students enter a pact, enabling them to summon demons from their cell phones with a special Devil Summoning App.;Completed;2011
1113;DEVIL SURVIVOR 2 the ANIMATION;SHIOTA Haruto;Atlus;['Action', 'Fantasy', 'Shounen', 'Supernatural'];Devil Survivor 2 - The Animation;"While Japan in desperate situation, 13 ""devil survivors"" cut deals with devils to obtain abilities to fight against unknown invaders with only 7 days left until a world catastrophe, you need to make crucial decision to survive...";Ongoing;2012
1114;;RHIM Ju-Yeon;RHIM Ju-Yeon;['Comedy', 'Gender Bender', 'Romance', 'School Life', 'Shoujo'];Devil's Bride;"Jeong-Hwan received a letter from his sister Ji-Yeong that said, ""Please rescue me, the devil is here!"" 

His sister goes to an all-girls school and in order to rescue her, he must disguise himself as a female student. In this school, all students are candidates to become ""the bride of the devil.""";Completed;2001
1115;;NAGAI Go;NAGAI Go;['Action', 'Horror', 'Shounen', 'Tragedy'];Devilman;"Akira Fudo, who has become the Devilman, the only being who can fight demons; a being possessing the powers of a demon and a soul of a man.

A long time ago, the Earth was ruled by demons. The demons constantly fought each other for survival, but soon found themselves fighting a new race of beings: The first humans. The demons then became imprisoned in ice after a great cataclysm. They would remain there until the ice melted, after which it was said Satan would rise and lead them in Armageddon. That time has come in Go Nagai's Devilman.";Completed;1972
1116;Strange Days - The Apocalypse of Devilman;;KINUTANI Yuu (Story & Art);['Action', 'Horror', 'Seinen', 'Supernatural', 'Tragedy'];Devilman Mokushiroku - Strange Days;Some more stuff to add to the Devilman mythos. This is Kinutani Yuu's second story about Nagai Gou's work. ;Completed;2005
1117;;NAGAI Go;NAGAI Go;['Action', 'Drama', 'Horror', 'Mature', 'Sci-Fi', 'Seinen'];Devilman Saga;Set in 2025, a roboticist named Fudou Yuuki joins a project involving a large mural depicting humanity's true past as well as the ancient but advanced technology found in Antarctica.;Ongoing;2014
1118;Devilman vs. Hades;TEAM MOON;NAGAI Go;['Action', 'Drama', 'Horror', 'Mature', 'Seinen'];Devilman Tai Yami no Teiou;After the world ended in the original Devilman, Akira Fudo is in hell, seeking the soul of his beloved Miki while at the same time Doctor Hell is beseeching the underworld for power in order to get his revenge upon the hated Mazinger. Akira sets in motion a chain of events that earn the enmity of Hades himself, who'll stop at nothing to avenge the slights Akira commits against him...;Ongoing;
1119;Devil's Line;Hanada Ryou;Hanada Ryou;['Action', 'Drama', 'Horror', 'Romance', 'Seinen', 'Supernatural'];Devils Line;"Anzai, half vampire, and Tsukasa, a normal school girl.
Vampires seem to be living among humans. Of course the government does not know of their existence, because their appearance does not differ from humans. They also do not need to drink blood, but when they get a craving or get angry, they can become uncontrollable monsters.";Ongoing;2013
1120;;SHIRAKI Ichigo;SHIRAKI Ichigo;['Action', 'Romance', 'Shounen', 'Supernatural'];Diabolic Garden;In the corner of a certain town, there is a teashop where the master, Tsukasa, obtains and cares for plants from the depths of hell.;Completed;2008
1121;;SHIBANO Yuka;SHIBANO Yuka;['Romance', 'School Life', 'Shoujo'];Diamond Beat;"From Midnight Scans:

She was born into a family of classical musicians, but Satsuki is the one misfit. She thought that she hated music; but, then, a prince with a guitar appears...?! “You are a genius DIVA!” That’s a lie, right–?!";Completed;2009
1122;DCD;Taguchi Kenji;Taguchi Kenji;[];Diamond Cut Diamond;"When he was young, Kurosu Keisuke was in a special TV program showcasing children with supernatural powers, called ""Esper Shounen"". Seven years after the termination of the program, a murderer appears to be targeting the Esper kids, whom he/she considers to be monsters. Will Keisuke and his old friends be able to discover the murderer and avoid becoming the next victims?!";Ongoing;2009
1123;;Kang Hyung-Gyu;Kang Hyung-Gyu;['Drama', 'Psychological', 'Shounen', 'Slice of Life'];Diamond Dust (KANG Hyung-Gyu);;Ongoing;2012
1124;Love Money Baby;FUJIWARA Akira;FUJIWARA Akira;['Drama', 'Josei', 'Romance', 'Slice of Life'];Diamond Life;"Kanae dropped out of high school, because her father is a gambler while her mother ran away with her boyfriend. Kanae is twenty-two years old, and very poor working for a cleaning shop. She comes to have something to do with Haruki Oda quite by chance. Haruki is an IT millionaire and called ""money-mad man,"" or ""the god of death."" Then Kanae's life makes a sudden development. Money cannot be made by love alone, though love cannot be bought with money. People of today want to have both love and money. This get-happy-story is a must read for the present-day people.";Completed;2007
1125;Diamond no Ace, Daiya no Ace, Ace of the Diamond;;Terajima, Yuuji (Story & Art);['Comedy', 'School Life', 'Shounen', 'Sports'];Diamond no Ace;It is a manga of high school baseball. The main character, who is a pitcher from a country high school, accidentally gets teamed up with a catcher from a school with an elite baseball team. He decides to quit his school to attend the school that this catcher plays. (Source: ANN);Ongoing;2006
1126;Daiya no Ace- Act II,  Diamond no Ace - Act II;Terajima Yuuji;Terajima Yuuji;['Comedy', 'Drama', 'School Life', 'Shounen', 'Sports'];Diamond no Ace Act II;;Ongoing;
1127;;Yun Hyun Suk;Yun Hyun Suk;['Drama', 'Psychological', 'Supernatural'];DICE: The Cube that Changes Everything;;Ongoing;2013
1128;Dokusai Grimoire, Grimms Monster;KANOU Ayumi;KANOU Ayumi;['Fantasy', 'Josei', 'Supernatural'];Dictatorial Grimoire;"Grimm Otogi is a descendant of the Grimm Brothers, authors of the well known Grimms' Fairytales. Upon picking up a mysterious book he discovers in his house, Otogi is attacked by a demon.

He soon learns that the Grimm brothers vowed to sacrifice the lives of their descendants in exchange for the fairytales, forcing Otogi to defeat the demons from these cruel and twisted stories if he wishes to survive.";Ongoing;2011
1129;di(e)ce, di[e]ce ~Dice~;;Saki, Otoh (Story), Yamamoto, Kana (Story & Art);['Action', 'Fantasy', 'School Life'];Diece;Naruse Kazuki and Koutake Haruki are on the advanced track of Seitoukou Academy.Though they are not connected by blood, these two whose faces are so similar coincidentally have their 16th birthdays on November 11th. However, on that fateful anniversary, the cogs of fate have begun to turn. A game involving both their destinies has now begun! (Source: Entropy);Ongoing;
1130;;MINATOGAWA Kazuomi;MINATOGAWA Kazuomi;['Action', 'Romance', 'Seinen'];Dies Irae - Amantes Amentes;;Ongoing;2016
1131;"Appmon; Digimon Universe";AKAMINE Naoki;HONGO Akiyoshi;['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi', 'Shounen'];Digimon Universe: Appli Monsters;"Everyone in the world uses smartphone apps. But inside them lurks unknown creatures called ""Appli Monsters,"" or ""Appmon."" The Appmon are AI lifeforms with the ability to think and act, and exist in the boundary between the human world and digital space to allow people and the system to interface and function. But in the vast sea of the internet, the ""last boss AI"" Leviathan takes control of the Appmon with a virus and begins hacking every system, thus starting to control the human world from the world of the net.

The protagonist, Haru Shinkai, is led to acquire the Appli Drive, and uses it to materialize Gacchimon, a search app monster. What is the secret hidden within the Appli Drive? What is the mysterious field that exists between net world where the Appmon exist, and the real world? What is the ""App Combine"" that can combine two Appmons? What is Leviathan's true goal?";Ongoing;
1132;Digimon Cross Wars;;HONGOU Akiyosho (Story), NAKAJIMA Yuuki (Art);['Action', 'Adventure', 'Shounen'];Digimon Xros Wars;Taiki Kudo is an upbeat boy with a desire to help those in need, although he tends to overexert himself. One day, he hears the voice of a Digimon named Shoutmon who is on the verge of death. Wanting to help him, Taiki is given a Digivice known as a Xros Loader, and he and his friends Akari Hinomoto and Zenjiro Tsurugi are warped to the Digital World where they meet Shoutmon and his allies, Ballistamon, Starmon and the Pickmons. By using the power of the Xros Loader, Taiki can perform a DigiXros, which can fuse any of his allies together into different forms. Taiki and his friends use this ability to fight the forces of the Bagura Empire while crossing paths with teams Blue Flare and Twilight. ;Ongoing;2010
1133;Dihao laogong tai kuangre;Rou Wanzi;Jiucai;['Comedy', 'Josei', 'Romance'];Dihao laogong tai kuangre;"Cheng Yi Nuo was badly framed by her sister. She did not want to give in to fate. She wanted to rely on her intelligence to be an entertainment reporter. She did not expect to shoot on the first mission to her boss?
";Ongoing;
1134;;IWAHARA Yuji;IWAHARA Yuji;['Action', 'Sci-Fi', 'Seinen'];Dimension W;"In the future, Nikola Tesla's dream of a 'World System' of electricity is realized. Cords and batteries are a thing of the past, and now people can directly draw energy using devices known as 'coils.' Some people, however, modify these coils for destructive purposes. Mabuchi Kyoma, a man who lives in ruins and has a passion for 'vintage' gas-powered cars, has good reason to know what damage these coils can do. He takes on assignments from a large woman known as Marie, recovering illegal coils in exchange for cash and gasoline.

One day, he goes out on one of his usual missions, to retrieve illegal coils from two criminal brothers, Jony and Every Won. When he gets to their gang's hideout, however, there is another stranger there: a mysterious, cloaked captive that appears to be a young lady. Who is she and will this meeting change Kyoma's life?";Ongoing;2011
1135;;Shuto;Nanell;['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shoujo', 'Supernatural'];Dimensional Travel Real Estate Agency;"Our local real estate agency has a secret?!
A dimensional travel, fantasy romance about a suspicious owner and a girl who used to be normal.";Ongoing;2012
1136;DINER;Hirayama Yumeaki;Hirayama Yumeaki;['Action', 'Drama', 'Horror', 'Psychological'];DINER;;Ongoing;
1137;Kuimonodokoro Akira, Kuimono Dokoro Akira, Kuimonodokoro Meiraku, Kuimono Dokoro Meiraku, Kuimonosho Akira;;Yamashita, Tomoko (Story & Art);['Yaoi'];Dining Bar Akira;Dining Bar Akira by Tomoko Yamashita centers on the happenings in a bar Kuimonodokoro Akira runs. Although the 32-year-old has never given thought to being in a relationship with a man, Akira seriously considers the proposition when he receives a sudden love confession from his male colleague, 26 year-old Torihara. It is no secret that new relationships can bring about their fair share of stress, but one with another man? And, with a colleague to boot? Finding himself in quite a conundrum, Akira struggles with his pride as an older man facing a younger and male pursuer, never mind that busy bar he is responsible for managing.;Completed;2007
1138;Discommunication Spirit World, DISCOMMUNICATION-Seireihen;UESHIBA Riichi;UESHIBA Riichi;['Fantasy', 'Mystery', 'Seinen'];Discommunication: Seireihen;"Takaomi Matsubue and Arika Togawa are second-year students at the same high school. By some strange quirk of fate, they started dating. Matsubue-kun is a really weird guy (in truth, other people just don't understand him), which causes Togawa-san to ponder: ""Why do I like this guy anyway? Why do people fall in love?""

They encounter a profound mystery: Tsugumi Yoshimoto, a girl who has been sleeping, sleep-eating, and sleep-walking for half a year. According to Touko and Rinko Mishima, sisters who are also well-acquainted with the structure and interpretation of dreams, this is a matter that concerns them all...";Completed;1999
1139;????????, Dispatch!;;KOBAYASHI Hiyoko (Story & Art);['Action', 'Ecchi', 'Seinen'];Dispatch;The main characters are the sexy and voluptuous Atsuko and Kohei a young policeman who just made Detective. Atsuko is Kohei`s boss and would do anything to get the bad guys. She even uses her body from time to time to catch or distract a criminal.;Ongoing;1999
1140;;TAMAKI Nozomu;TAMAKI Nozomu;['Action', 'Drama', 'Ecchi', 'Horror', 'Mature', 'Romance', 'Seinen', 'Supernatural', 'Tragedy'];Dive in the Vampire Bund;"The Vampire Bund, a peaceful island nation of vampires off the coast of Tokyo, ruled by Princess Mina Tepes, has seen its share of conflict and turmoil. Yet there are times of relative tranquility when the Bund is a popular tourist destination.

When two teenage tourists visit the Bund and are unexpectedly turned into vampires, they appeal to Mina and her loyal lycanthrope bodyguard, Akira, for help. Their only hope is to find a cure to reverse their vampirism within forty eight hours, or they will be stuck as vampires forever.

Unfortunately for them, their race against time turns into a game of cat and mouse that takes them across the entire Bund in pursuit of the one person who holds the key to their salvation.";Ongoing;2010
1141;Divine Abuse;Qian Xin;Qian Xin;['Action', 'Adventure', 'Fantasy', 'Historical'];Divine Abuse;"As the towns and cities grow, the people who have Ascended to immortals disguise themselves as mortals in the cities, part of them can’t help themselves but to devour humans, but other than these cases showing up in headlines and on the news, there aren’t any other effects.
Because of this, monsters and demons are almost extinct, and Gods rarely descend to the mortal realm. In the mortal realm there are Ascended who know the rules of the mortals, but few still disrupt those rules, Gods descend to deal with demons from time to time.
Even though some Ascended do descend to the mortal realm as they miss the realm, they still do have their own goals to achieve, so the Heavens sends Guardian Gods to return those Ascended, and also to keep them from harming the mortal realm…";Ongoing;
1142;Godly Bells;LEE Hye;LEE Hye;['Fantasy', 'Historical', 'Josei', 'Mystery', 'Supernatural'];Divine Bells;Bells that are called gods. The past and present story of the bell's secrets and Hong Ryeong, the one chosen by the bell.;Ongoing;2012
1143;??, Divine Melody Manhua;;Yi, Huan (Story & Art;['Adventure', 'Drama', 'Fantasy', 'Gender Bender', 'Historical', 'Shoujo'];Divine Melody;"his is a wonderful tale set in historical times that deals with amazing legends... A strong and active young boy named Duo Xi and a gentle young girl named Xiao Que live in a village at the base of a mountain which, legend has it, is home to female fox demons. Among the foxes is the very special Cai Sheng--a little girl fox with the power to one day become what only the most powerful foxes can become: a man, able to sire celestial fox children. Lonely, with no one her age to play with, the child fox Cai Sheng descends to the village and plays with Duo Xi and Xiao Que, and when the little fox child is attacked by a dog, it is the two human children who save her! Now the humans are marked, and will remain so--even in their lives to come--until Cai Sheng repays her debt to them... Two hundred years later, Cai Sheng is more powerful and has mastered the art of becoming a man...and she still owes a debt to the reincarnated children!
(Source: ShoujoMagic)";Ongoing;2003
1144;Divine Melody: Chapter of Warm Snow;Yi Huan;Yi Huan;['Gender Bender', 'Historical', 'Romance', 'Shoujo', 'Supernatural'];Divine Melody: The Untold Story;;Completed;2009
1145;D N Angel, D·N·ANGEL, D.N. Angel, D.N.Angel, Daisuke Niwa Angel, Dei Enu Enjeru, DN Angel, DN Anjeiru, DNAngel;Sugisaki Yukiru;Sugisaki Yukiru;['Adventure', 'Comedy', 'Fantasy', 'Mystery', 'Romance', 'Shoujo', 'Supernatural'];DN Angel;Daisuke Niwa is an ordinary, if slightly unlucky, middle school student. On his fourteenth birthday, he comes down with a \'condition\' that has plagued the men in his family for three hundred years. When he sees his crush, Risa, he transforms into his alter ego, the phantom thief Dark Mousy. Unfortunately, when Dark Mousy sees his crush, Risa\'s twin Riku, he transforms back into Daisuke. The only cure for this craziness is if Daisuke can get Risa to fall in love with him ...;Ongoing;1997
1146;DNA^2, DNA2, DNA Squared, Dokokade Nakushita Aitsuno Aitsu, D?N?A2, DNA²;;Katsura, Masakazu (Story & Art);['Comedy', 'Romance', 'Sci-Fi', 'Shounen'];DNA2;"Japan in the future has a massive over-population problem. Scientists have traced the root of this problem to one particular individual, Junta Monamari. According to their records, Junta was a &quot;Mega-Playboy&quot; who had sired children with over a hundred women. Each one of his sons had inherited the Mega-Playboy gene too, so the problem grew exponentially from thereon. Enter Karin Aoi, a &quot;DNA Operator&quot;. Karin is sent back to the past with a mission: to alter Junta s DNA and prevent him from ever becoming the Mega-Playboy, thereby eliminating the world s overpopulation problem. Junta s DNA can only be altered by shooting him with a special bullet called DCM which contains the chemical for suppressing the Mega-Playboy DNA. In return, Karin gets a vast sum of money... enough to make all her dreams come true. Will Junta become the playboy he is destined to be, or will his better self prevail? But Karin is falling for the real Junta too... and what of the sweet and kindly Ami who has secretly loved Junta all her life? What will happen to future Japan?";Completed;1993-1994
1147;Do Da Dancin;MAKIMURA Satoru;MAKIMURA Satoru;['Drama', 'Josei', 'Romance', 'Slice of Life', 'Sports'];Do Da Dancin'!;"Sakuraba Taiko has been into ballet since she was a kid. Her mother also used to dance, although she gave it up to take a more traditional life path. Therefore, she was eagerly supportive of Taiko's interest in ballet. Taiko's life was staggered by the death of her mother in a car accident, but she has continued to dance, although her heart is no longer in it. Her remaining family and childhood friends support her as she chases her dream to become a famous dancer.

Her latest role is in the ballet ""Giselle"" as Myrta, the queen of the Wilis, spirits of young, virginal women who died before their wedding day. One day when she comes to the studio, she meets a beautiful, famous male ballet dancer, Mikami Akira, and she instantly crushes on him. Will she be able to dance well enough in her role to impress him and live up to the expectations of the whole ballet group? Will she be able to sort out her own feelings towards ballet and her mother's death?";Completed;2000
1148;Don't Resist;YEON Young-Hee;YEON Young-Hee;['Romance', 'School Life', 'Shoujo'];Do Not Fight;"About a husband and wife who are spouses on paper only (live in the same house, but separate rooms; same company [he is the president, she is a worker], but act as strangers) falling in love with each other. ";Ongoing;2000
1149;Do You Remember Quince?, Do You Remember the Mogwa?, Do You Remember the Papaya?, Mogwa-reul Giok Haseyo?, Mogwa-reul Kieok Haseyo?, Mogwareul Gieokhaseyo?;HAN Yu-Rang;HAN Yu-Rang;['Comedy', 'Romance', 'Shoujo', 'Slice of Life'];Do You Remember, Mogwa?;Sun Jong is a girl who doesn't like to be near others, and wears a mask on her face. Her grandma decides to take in a good looking boy who has the mission to become friends with her. Can she take off her mask?;Completed;2008
